lat,lng,demand
-7.54689638,112.2957143,879529
-7.594478031,111.4401589,63325
-7.8319322,111.9924592,62465
-8.098667229,112.1643535,441369
-7.536643144,111.5940907,9930
-7.606619945,111.9014461,143162
-7.8907369,112.00409,164745
-6.953725904,111.8787268,5453
-7.654913042,111.3281527,182767
-8.049013131,111.6589936,10433
-7.627753,111.47969,5980
-7.499618303,111.4268529,2293
-8.087058367,111.9577184,7633
-7.52842313,112.2299377,95297
-7.000974481,107.6219355,631000
-6.93101,107.6543,267
-6.578337485,107.4306395,602
-6.964164746,107.6479722,78750
-7.036158686,107.5934756,124012
-6.918117273,107.6634319,2603
-6.915824496,107.5892413,36370
-2.314207035,101.1335697,11953
-0.464036112,100.5719001,17859
-0.75925661,100.3088507,15503
-0.023054473,100.2154418,1854
-0.64496,100.13131,4598
-1.790903561,100.8288386,1124
-0.329940312,100.5354516,3319
-0.225817215,100.6293987,55247
-0.239028178,100.6134211,112698
-0.790012827,100.6574975,129494
-0.302902764,100.3793128,736756
-8.132694112,113.2236067,192634
-7.786351794,113.3728241,18335
-7.834911572,113.2247919,10928
-8.196547782,113.7051421,39764
-8.364971672,113.6123873,95591
-8.177903281,113.8028016,6097
-8.127496295,113.3925407,35282
-7.722012213,113.5103331,20890
-8.388635443,114.2698259,61145
-7.664287358,114.0316115,11578
-8.227666437,113.8662332,24698
-7.89857061,113.931524,1939
-8.497585506,114.1638233,10988
-8.213899226,114.3516613,51015
-8.203664303,113.4403732,13969
-8.488791457,114.2344544,116028
-7.7082003,113.998393,2843
-8.165170838,113.4572007,67497
-7.781993511,113.2308183,1034
-0.680313121,100.2889074,22587
-6.468275271,108.4194152,72819
-0.462726537,100.400547,2279
-0.457121499,100.5925482,65189
0.127489274,100.1734694,62983
0.099872438,99.82415655,163711
-0.803987538,100.6585462,4277
-0.317996946,100.377115,98129
-8.012418321,104.4873344,5791
-8.040614474,111.708188,767
-7.610122799,109.1513299,1169
-7.31657364,109.8863212,6637
-7.433243463,109.2504644,130976
-7.667441829,109.5803176,8171
-7.449257014,109.29808,73474
-7.637944441,109.7048978,10857
-7.353944963,109.5962907,8861
-7.362044381,109.9014381,8981
-7.388869389,109.3616837,71022
-7.512285619,108.8607207,34557
-7.664781702,109.6613463,99530
-7.6836831,109.0471061,6261
-7.360949813,109.905741,51283
-7.683412999,110.726914,6324
-7.730569799,109.54365,9972
-7.254722637,109.0091746,195046
2.359603926,99.72786174,7165
1.72118427,98.79216087,19096
1.364165191,99.76773468,6855
-1.612476349,103.6245,17269
-1.603282233,103.6186563,130680
-2.063936931,101.3981061,139963
-1.480523173,102.121051,246945
0.071692762,109.1949701,1049
0.383165472,111.9989573,3516
-0.049133565,109.3098,357612
-0.336298945,111.7384892,75661
1.148604113,109.6991339,8443
0.124398858,110.5759989,1555
-0.03083353,109.3214308,141245
0.940896917,108.9877711,29208
-1.842996163,109.970312,8031
0.030828839,111.479666,4518
-0.097040597,109.3780617,310129
-1.160005943,109.9570491,45304
-0.016478573,109.3460052,49738
-1.827623884,109.9715838,272947
-5.257128014,119.4573042,30545
-3.5717132,119.5381068,1359
-5.08146545,119.5124725,32417
-4.129148794,120.0291243,420380
2.9982,101.8017,1600
1.5495,103.708,17328
3.0383,101.7094,8429
2.0051,102.7335,6699
5.6639,100.4902,12198
3.1185,101.687,3
6.105,102.251,1740
6.4394,100.1963,2924
2.2872,102.2759,2744
-7.569094425,110.1259393,22349
-7.495004067,110.0821708,16042
-7.695053609,110.3996103,150431
-7.821566589,110.4158198,2458
-7.910593484,110.2958817,19211
-7.410426963,110.1745544,5248
